"-153552.963554, -40525.201328, 589802.212249","-153553.69346, -42047.76693, 589484.523512","-155403.397285, -41286.647808, 589307.391185"
"-153551.503743, -37480.070125, 590437.589723","-155401.207569, -36718.951003, 590260.457397","-153550.773838, -35957.504524, 590755.27846"
"-155401.937474, -38241.516605, 589942.768659","-157251.641299, -37480.397483, 589765.636333","-155401.207569, -36718.951003, 590260.457397"
"-155401.937474, -38241.516605, 589942.768659","-153551.503743, -37480.070125, 590437.589723","-155401.207569, -36718.951003, 590260.457397"
"-153552.233649, -39002.635727, 590119.900986","-155401.937474, -38241.516605, 589942.768659","-153551.503743, -37480.070125, 590437.589723"
"-157252.371205, -39002.963084, 589447.947596","-159102.07503, -38241.843962, 589270.815269","-157251.641299, -37480.397483, 589765.636333"
"-157252.371205, -39002.963084, 589447.947596","-155401.937474, -38241.516605, 589942.768659","-157251.641299, -37480.397483, 589765.636333"
"-155402.667379, -39764.082206, 589625.079922","-157252.371205, -39002.963084, 589447.947596","-155401.937474, -38241.516605, 589942.768659"
"-155402.667379, -39764.082206, 589625.079922","-153552.233649, -39002.635727, 590119.900986","-155401.937474, -38241.516605, 589942.768659"
"-153552.963554, -40525.201328, 589802.212249","-155402.667379, -39764.082206, 589625.079922","-153552.233649, -39002.635727, 590119.900986"
"-159102.804935, -39764.409564, 588953.126532","-159102.07503, -38241.843962, 589270.815269","-160952.508761, -39003.290442, 588775.994205"
"-157252.371205, -39002.963084, 589447.947596","-159102.804935, -39764.409564, 588953.126532","-159102.07503, -38241.843962, 589270.815269"
"-157253.10111, -40525.528686, 589130.258858","-157252.371205, -39002.963084, 589447.947596","-159102.804935, -39764.409564, 588953.126532"
"-155402.667379, -39764.082206, 589625.079922","-157253.10111, -40525.528686, 589130.258858","-157252.371205, -39002.963084, 589447.947596"
"-155403.397285, -41286.647808, 589307.391185","-155402.667379, -39764.082206, 589625.079922","-157253.10111, -40525.528686, 589130.258858"
"-153552.963554, -40525.201328, 589802.212249","-155403.397285, -41286.647808, 589307.391185","-155402.667379, -39764.082206, 589625.079922"
"-177564.106966, -39617.278954, 589267.391996","-179316.326935, -38820.373296, 589304.914577","-177564.106966, -38103.958932, 589583.014276"
"-174059.667028, -41211.090269, 589192.346834","-172307.447059, -40494.675905, 589470.446532","-172307.447059, -42007.995927, 589154.824252"
"-174059.667028, -39697.770247, 589507.969113","-172307.447059, -38981.355883, 589786.068811","-172307.447059, -40494.675905, 589470.446532"
"-174059.667028, -39697.770247, 589507.969113","-174059.667028, -41211.090269, 589192.346834","-172307.447059, -40494.675905, 589470.446532"
"-175811.886997, -40414.184611, 589229.869415","-174059.667028, -39697.770247, 589507.969113","-174059.667028, -41211.090269, 589192.346834"
"-174059.667028, -38184.450225, 589823.591393","-172307.447059, -37468.035861, 590101.691091","-172307.447059, -38981.355883, 589786.068811"
"-174059.667028, -38184.450225, 589823.591393","-174059.667028, -39697.770247, 589507.969113","-172307.447059, -38981.355883, 589786.068811"
"-175811.886997, -38900.864589, 589545.491694","-174059.667028, -38184.450225, 589823.591393","-174059.667028, -39697.770247, 589507.969113"
"-175811.886997, -38900.864589, 589545.491694","-175811.886997, -40414.184611, 589229.869415","-174059.667028, -39697.770247, 589507.969113"
"-177564.106966, -39617.278954, 589267.391996","-175811.886997, -38900.864589, 589545.491694","-175811.886997, -40414.184611, 589229.869415"
"-174059.667028, -36671.130203, 590139.213672","-172307.447059, -37468.035861, 590101.691091","-172307.447059, -35954.715839, 590417.31337"
"-174059.667028, -38184.450225, 589823.591393","-174059.667028, -36671.130203, 590139.213672","-172307.447059, -37468.035861, 590101.691091"
"-175811.886997, -37387.544568, 589861.113974","-174059.667028, -38184.450225, 589823.591393","-174059.667028, -36671.130203, 590139.213672"
"-175811.886997, -38900.864589, 589545.491694","-175811.886997, -37387.544568, 589861.113974","-174059.667028, -38184.450225, 589823.591393"
"-177564.106966, -38103.958932, 589583.014276","-175811.886997, -38900.864589, 589545.491694","-175811.886997, -37387.544568, 589861.113974"
"-177564.106966, -39617.278954, 589267.391996","-177564.106966, -38103.958932, 589583.014276","-175811.886997, -38900.864589, 589545.491694"
