Arup

Steel Design
Vieerendeel Roof
Example

File Steel_Design_Complex.gwb
Exported 04/12/2014 13:36:00

GSA 8.7.0.36 64-bit Copyright © Oasys 1985-2014

Beam Derived Stresses
Stresses are calculated only for elements that have unmodified Area, Iyy and Izz or for which
the 'Stress Calc. Basis' is specified as 'Section'.
The 'Stress Calc. Basis' is reported only for sections that have modified Area, Iyy or Izz.

+ve stresses:  tensile

SEy and SEz are the maximum elastic shear stresses.  (Refer to the GSA manual for details.)

Torsional stress:  St = Mxx/Ct
- where Ct is the 'torsion modulus'.  (Refer to the GSA manual for details.)

Von Mises stress:  This is calculated assuming the maximum through thickness stress and torsional stress coexist.
In most cases this is an over-estimate of the von Mises stress.

Case list:  C3 : ULS3

START_TABLE Beam Derived Stresses
Elem	Case	Stress Calc. Basis	Pos	SEy	SEz	St	Von Mises
				[Pa]	[Pa]	[Pa]	[Pa]
2	C3		442	5.134E+6	19.30E+6	6.373E+6	125.3E+6
			463	5.134E+6	19.30E+6	6.373E+6	125.1E+6
3	C3		442	-5.037E+6	19.88E+6	-6.351E+6	128.2E+6
			443	-5.037E+6	19.88E+6	-6.351E+6	127.4E+6
5	C3		443	4.070E+6	9.928E+6	5.026E+6	73.71E+6
			464	4.070E+6	9.928E+6	5.026E+6	67.33E+6
6	C3		443	2.100E+6	11.79E+6	-1.066E+6	54.37E+6
			444	2.100E+6	11.79E+6	-1.066E+6	119.4E+6
8	C3		444	7.123E+6	-6.556E+6	6.418E+6	66.98E+6
			465	7.123E+6	-6.556E+6	6.418E+6	80.49E+6
9	C3		444	-4.634E+6	-31.59E+6	-4.611E+6	238.3E+6
			445	-4.634E+6	-31.59E+6	-4.611E+6	153.3E+6
11	C3		445	6.483E+6	1.699E+6	2.672E+6	40.58E+6
			466	6.483E+6	1.699E+6	2.672E+6	37.49E+6
12	C3		445	-2.155E+6	-26.91E+6	-1.211E+6	137.5E+6
			446	-2.155E+6	-26.91E+6	-1.211E+6	142.6E+6
14	C3		446	3.218E+6	-622200.	1.445E+6	21.62E+6
			467	3.218E+6	-622200.	1.445E+6	16.43E+6
15	C3		446	-551900.	-23.46E+6	512300.	107.7E+6
			447	-551900.	-23.46E+6	512300.	131.6E+6
17	C3		447	1.493E+6	-2.557E+6	-180800.	23.06E+6
			468	1.493E+6	-2.557E+6	-180800.	15.01E+6
18	C3		447	-312200.	-17.52E+6	1.046E+6	92.84E+6
			448	-312200.	-17.52E+6	1.046E+6	126.5E+6
20	C3		448	984700.	-2.885E+6	-670500.	22.25E+6
			469	984700.	-2.885E+6	-670500.	15.45E+6
21	C3		448	-404800.	-11.31E+6	804300.	75.88E+6
			449	-404800.	-11.31E+6	804300.	113.8E+6
23	C3		449	942800.	-2.511E+6	-649700.	19.75E+6
			470	942800.	-2.511E+6	-649700.	13.87E+6
24	C3		449	-561300.	-5.460E+6	391700.	57.75E+6
			450	-561300.	-5.460E+6	391700.	97.01E+6
